Time,[A],[B]
0,1,100
1,1172.08,2.79091e-11
2,468.495,-1.36885e-13
3,187.263,-4.8989e-16
4,74.8512,-1.4573e-15
5,29.9189,-9.12042e-16
6,11.9589,-6.83492e-16
7,4.78013,-6.4497e-16
8,1.91067,-6.67503e-16
9,0.763718,-7.16799e-16
10,0.305267,-7.81177e-16
11,0.122019,-8.56372e-16
12,0.0487724,-9.4102e-16
13,0.0194949,-1.03501e-15
14,0.00779234,-1.13882e-15
15,0.00311469,-1.25323e-15
16,0.00124498,-1.37921e-15
17,0.000497632,-1.5179e-15
18,0.00019891,-1.67054e-15
19,7.95065e-05,-1.83855e-15
20,3.17797e-05,-2.02345e-15
21,1.27027e-05,-2.22696e-15
22,5.07742e-06,-2.45092e-15
23,2.0295e-06,-2.69742e-15
24,8.11217e-07,-2.9687e-15
25,3.24253e-07,-3.26727e-15
26,1.29607e-07,-3.59587e-15
27,5.18056e-08,-3.95751e-15
28,2.07073e-08,-4.35553e-15
29,8.27691e-09,-4.79357e-15
30,3.30847e-09,-5.27567e-15
31,1.32248e-09,-5.80625e-15
32,5.28583e-10,-6.3902e-15
33,2.11269e-10,-7.03288e-15
34,8.43717e-11,-7.74019e-15
35,3.37124e-11,-8.51863e-15
36,1.35417e-11,-9.37537e-15
37,5.42819e-12,-1.03183e-14
38,2.11736e-12,-1.1356e-14
39,8.34888e-13,-1.24986e-14
40,3.53773e-13,-1.37559e-14
41,1.45976e-13,-1.51398e-14
42,5.99284e-14,-1.6663e-14
43,2.2164e-14,-1.83465e-14
44,-1.13532e-14,-2.02554e-14
45,-2.7824e-14,-2.23546e-14
46,-2.72484e-14,-2.46442e-14
47,-2.19133e-14,-2.71921e-14
48,-2.31736e-14,-3.00609e-14
49,-2.02259e-14,-3.31911e-14
50,-1.30702e-14,-3.65826e-14
51,-9.09051e-15,-3.88885e-14
52,-6.80049e-15,-4.40352e-14
53,-4.51048e-15,-4.91819e-14
54,-2.48927e-15,-5.34595e-14
55,-2.42321e-15,-5.14155e-14
56,-2.35715e-15,-4.93715e-14
57,-2.29108e-15,-4.73276e-14
58,-2.22502e-15,-4.52836e-14
59,-2.15896e-15,-4.32396e-14
60,-2.0929e-15,-4.11956e-14
61,-2.02683e-15,-3.91517e-14
62,-1.96077e-15,-3.71077e-14
63,-1.89471e-15,-3.50637e-14
64,-1.82864e-15,-3.30197e-14
65,-1.76258e-15,-3.09758e-14
66,-1.69652e-15,-2.89318e-14
67,-1.63045e-15,-2.68878e-14
68,-1.56439e-15,-2.48438e-14
69,-1.49833e-15,-2.27999e-14
70,-1.43227e-15,-2.07559e-14
71,-1.3662e-15,-1.87119e-14
72,-1.30014e-15,-1.66679e-14
73,-1.23408e-15,-1.46239e-14
74,-1.16801e-15,-1.258e-14
75,-1.10195e-15,-1.0536e-14
76,-1.03589e-15,-8.49202e-15
77,-9.69825e-16,-6.44805e-15
78,-9.03761e-16,-4.40407e-15
79,-8.37698e-16,-2.3601e-15
80,-7.71635e-16,-3.1612e-16
81,-7.05572e-16,1.72786e-15
82,-6.39509e-16,3.77183e-15
83,-5.73446e-16,5.81581e-15
84,-5.07383e-16,7.85978e-15
85,-4.4132e-16,9.90376e-15
86,-3.75257e-16,1.19477e-14
87,-3.09194e-16,1.39917e-14
88,-2.43131e-16,1.60357e-14
89,-1.77068e-16,1.80797e-14
90,-1.11005e-16,2.01236e-14
91,-7.12599e-17,2.09962e-14
92,-6.93541e-17,2.01844e-14
93,-6.74483e-17,1.93727e-14
94,-6.55425e-17,1.85609e-14
95,-6.36367e-17,1.77492e-14
96,-6.17309e-17,1.69374e-14
97,-5.98251e-17,1.61257e-14
98,-5.79193e-17,1.53139e-14
99,-5.60135e-17,1.45022e-14
100,-5.41077e-17,1.36904e-14
101,-5.22018e-17,1.28787e-14
102,-5.0296e-17,1.20669e-14
103,-4.83902e-17,1.12552e-14
104,-4.64844e-17,1.04434e-14
105,-4.45786e-17,9.63168e-15
106,-4.26728e-17,8.81993e-15
107,-4.0767e-17,8.00818e-15
108,-3.88612e-17,7.19643e-15
109,-3.69554e-17,6.38468e-15
110,-3.50496e-17,5.57293e-15
111,-3.31438e-17,4.76118e-15
112,-3.1238e-17,3.94943e-15
113,-2.93322e-17,3.13768e-15
114,-2.74264e-17,2.32593e-15
115,-2.55206e-17,1.51418e-15
116,-2.36148e-17,7.02428e-16
117,-2.1709e-17,-1.09322e-16
118,-1.98032e-17,-9.21072e-16
119,-1.78973e-17,-1.73282e-15
120,-1.59915e-17,-2.54457e-15
121,-1.40857e-17,-3.35632e-15
122,-1.21799e-17,-4.16807e-15
123,-1.02741e-17,-4.97982e-15
124,-8.36832e-18,-5.79157e-15
125,-6.46252e-18,-6.60332e-15
126,-4.55671e-18,-7.41507e-15
127,-2.65091e-18,-8.22682e-15
128,-2.06749e-18,-8.42262e-15
129,-2.05206e-18,-8.35386e-15
130,-2.03663e-18,-8.28509e-15
131,-2.0212e-18,-8.21633e-15
132,-2.00578e-18,-8.14756e-15
133,-1.99035e-18,-8.0788e-15
134,-1.97492e-18,-8.01003e-15
135,-1.95949e-18,-7.94127e-15
136,-1.94406e-18,-7.87251e-15
137,-1.92864e-18,-7.80374e-15
138,-1.91321e-18,-7.73498e-15
139,-1.89778e-18,-7.66621e-15
140,-1.88235e-18,-7.59745e-15
141,-1.86693e-18,-7.52868e-15
142,-1.8515e-18,-7.45992e-15
143,-1.83607e-18,-7.39115e-15
144,-1.82064e-18,-7.32239e-15
145,-1.80521e-18,-7.25362e-15
146,-1.78979e-18,-7.18486e-15
147,-1.77436e-18,-7.11609e-15
148,-1.75893e-18,-7.04733e-15
149,-1.7435e-18,-6.97857e-15
150,-1.72808e-18,-6.9098e-15
151,-1.71265e-18,-6.84104e-15
152,-1.69722e-18,-6.77227e-15
153,-1.68179e-18,-6.70351e-15
154,-1.66636e-18,-6.63474e-15
155,-1.65094e-18,-6.56598e-15
156,-1.63551e-18,-6.49721e-15
157,-1.62008e-18,-6.42845e-15
158,-1.60465e-18,-6.35968e-15
159,-1.58923e-18,-6.29092e-15
160,-1.5738e-18,-6.22215e-15
161,-1.55837e-18,-6.15339e-15
162,-1.54294e-18,-6.08462e-15
163,-1.52751e-18,-6.01586e-15
164,-1.51209e-18,-5.9471e-15
165,-1.49666e-18,-5.87833e-15
166,-1.48123e-18,-5.80957e-15
167,-1.4658e-18,-5.7408e-15
168,-1.45037e-18,-5.67204e-15
169,-1.43495e-18,-5.60327e-15
170,-1.41952e-18,-5.53451e-15
171,-1.40409e-18,-5.46574e-15
172,-1.38866e-18,-5.39698e-15
173,-1.37324e-18,-5.32821e-15
174,-1.35781e-18,-5.25945e-15
175,-1.34238e-18,-5.19068e-15
176,-1.32695e-18,-5.12192e-15
177,-1.31152e-18,-5.05316e-15
178,-1.2961e-18,-4.98439e-15
179,-1.28067e-18,-4.91563e-15
180,-1.26524e-18,-4.84686e-15
181,-1.24981e-18,-4.7781e-15
182,-1.23439e-18,-4.70933e-15
183,-1.21896e-18,-4.64057e-15
184,-1.20353e-18,-4.5718e-15
185,-1.1881e-18,-4.50304e-15
186,-1.17267e-18,-4.43427e-15
187,-1.15725e-18,-4.36551e-15
188,-1.14182e-18,-4.29674e-15
189,-1.12639e-18,-4.22798e-15
190,-1.11096e-18,-4.15921e-15
191,-1.09554e-18,-4.09045e-15
192,-1.08011e-18,-4.02169e-15
193,-1.06468e-18,-3.95292e-15
194,-1.04925e-18,-3.88416e-15
195,-1.03382e-18,-3.81539e-15
196,-1.0184e-18,-3.74663e-15
197,-1.00297e-18,-3.67786e-15
198,-9.87541e-19,-3.6091e-15
199,-9.72113e-19,-3.54033e-15
200,-9.56685e-19,-3.47157e-15
